,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
52,lucie_tokens_65k_splitted/length-4096-inf/OpenEdition_text_document,2962631287,285924,4097,2041101,fr,OpenEdition,,false,technical,0.939,2.225,14.459,2369,6.5,3.604,1.62,4.01,2.0,2962631287,5925262574.0,0.006465849558290017,0.007375913502303766
65,lucie_tokens_65k_splitted/length-4096-inf/Pile--Ubuntu_IRC_text_document,1742458905,6040,4097,19486243,en,Pile,Ubuntu_IRC,false,forum,0.01,0.867,5.61,83577,6.5,2.159,2.49,2.6,2.5,1742458905,4356147262.5,0.003802861729932428,0.005422639926960533
96,lucie_tokens_65k_splitted/length-4096-inf/TheStack--rust_text_document,2032445854,156115,4097,958508,code,TheStack,rust,false,programming,1.387,0.872,9.529,629,10.9,3.241,3.72,2.94,2.0,2032445854,4064891708.0,0.00443574912105972,0.005060077804146915
69,lucie_tokens_65k_splitted/length-4096-inf/RedPajama--it--2023_text_document,3847603396,556798,4097,194059,it,RedPajama--it--2023,,false,web,23.323,14.403,94.066,618,6.5,25.915,1.8,3.63,1.0,3847603396,3847603396.0,0.008397273338625133,0.004789591935485798
105,lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--de_text_document,1255319656,135529,4097,633264,de,Wikipedia.de,,false,wiki,2.877,1.709,11.252,594,6.6,3.476,2.03,3.24,3.0,1255319656,3765958968.0,0.002739695647877756,0.004687958930812634
108,lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--fr_text_document,1216680760,135248,4097,429198,fr,Wikipedia.fr,,false,wiki,2.648,1.726,9.879,652,5.7,2.94,1.7,3.36,3.0,1216680760,3650042280.0,0.0026553674732140106,0.004543662968653383
31,lucie_tokens_65k_splitted/length-4096-inf/FineWebEdu--cc-main-2024_text_document,1892252559,288285,4097,134969,en,FineWebEdu--cc-main-2024,,false,web,11.652,9.197,57.223,789,6.2,12.752,1.39,4.49,1.5,1892252559,2838378838.5,0.004129781666206816,0.003533284228012244
30,lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--it_text_document,1280381898,53624,4097,24252137,it,Eurovoc.it,,true,legi_written,0.245,0.731,4.867,2976,6.7,1.527,2.09,3.19,2.0,1280381898,2560763796.0,0.0027943932024052215,0.0031877021521387596
27,lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--de_text_document,1253921967,53884,4097,24458703,de,Eurovoc.de,,true,legi_written,0.247,0.678,4.915,2742,7.2,1.497,2.21,3.28,2.0,1253921967,2507843934.0,0.0027366452356165573,0.0031218261981551124
99,lucie_tokens_65k_splitted/length-4096-inf/TheStack--tex_text_document,1187047230,75601,4097,1068523,code,TheStack,tex,false,programming,0.398,0.394,3.805,989,9.7,1.507,3.83,2.53,2.0,1187047230,2374094460.0,0.0025906932264719877,0.0029553315426217885
107,lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--es_text_document,778981412,92434,4097,501966,es,Wikipedia.es,,false,wiki,1.947,1.245,7.161,639,5.8,2.124,1.71,3.37,3.0,778981412,2336944236.0,0.0017001024193586509,0.0029090860243189214
28,lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--en_text_document,2330268391,68474,4097,18100344,en,Eurovoc.en,,true,legi_written,0.272,1.523,9.468,5594,6.2,2.571,1.69,3.68,1.0,2330268391,2330268391.0,0.005085737436433323,0.002900775767235825
29,lucie_tokens_65k_splitted/length-4096-inf/Eurovoc--es_text_document,1164975879,52166,4097,23409924,es,Eurovoc.es,,true,legi_written,0.246,0.757,4.684,3084,6.2,1.411,1.86,3.32,2.0,1164975879,2329951758.0,0.002542523197437182,0.002900381614640762
109,lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--it_text_document,768017648,87808,4097,179820,it,Wikipedia.it,,false,wiki,1.87,1.06,6.161,567,5.8,1.959,1.85,3.14,3.0,768017648,2304052944.0,0.0016761743494271475,0.002868142129978178
87,lucie_tokens_65k_splitted/length-4096-inf/TheStack--mathematica_text_document,1108552667,20007,4097,1039008,code,TheStack,mathematica,false,programming,0.027,0.12,1.72,4454,14.4,1.117,9.32,1.54,2.0,1108552667,2217105334.0,0.0024193813127253217,0.002759907593097713
64,lucie_tokens_65k_splitted/length-4096-inf/Pile--USPTO_Backgrounds_text_document,868991776,110738,4097,344672,en,Pile,USPTO_Backgrounds,false,technical,5.139,3.492,22.309,680,6.4,5.105,1.46,4.37,2.5,868991776,2172479440.0,0.0018965472064182845,0.0027043561757560896
103,lucie_tokens_65k_splitted/length-4096-inf/Wikiother--fr--wikisource_text_document,695966610,40853,4097,666191,fr,Wikiother.fr,,false,wiki,0.836,0.576,3.427,690,5.9,0.912,1.58,3.76,3.0,695966610,2087899830.0,0.0015189252262335607,0.0025990693838836005
63,lucie_tokens_65k_splitted/length-4096-inf/Pile--StackExchange_text_document,759457950,117016,4097,117522,en,Pile,StackExchange,false,forum,15.269,4.534,33.609,297,7.4,10.275,2.27,3.27,2.5,759457950,1898644875.0,0.0016574930778915189,0.0023634801318413853
42,lucie_tokens_65k_splitted/length-4096-inf/MathPile--commoncrawl_text_document,631309402,43242,4097,354113,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,631309402,1893928206.0,0.0013778129043521556,0.0023576087055326754
86,lucie_tokens_65k_splitted/length-4096-inf/TheStack--lua_text_document,944966329,51493,4097,978161,code,TheStack,lua,false,programming,0.559,0.318,3.279,570,10.3,1.367,4.29,2.4,2.0,944966329,1889932658.0,0.002062359277637504,0.002352634948492503
90,lucie_tokens_65k_splitted/length-4096-inf/TheStack--perl_text_document,830966804,46381,4097,1167758,code,TheStack,perl,false,programming,0.392,0.297,2.634,757,8.9,1.149,3.87,2.29,2.0,830966804,1661933608.0,0.0018135589015660953,0.0020688160880783296
95,lucie_tokens_65k_splitted/length-4096-inf/TheStack--ruby_text_document,793255231,66744,4097,1029268,code,TheStack,ruby,false,programming,3.405,0.646,7.139,190,11.1,2.392,3.7,2.98,2.0,793255231,1586510462.0,0.0017312545801696298,0.0019749274892154316
62,lucie_tokens_65k_splitted/length-4096-inf/Pile--PhilPapers_text_document,607637896,26441,4097,2387801,en,Pile,PhilPapers,false,technical,0.031,0.363,2.304,11801,6.3,0.618,1.7,3.73,2.5,607637896,1519094740.0,0.0013261505873821803,0.0018910067299313963
71,lucie_tokens_65k_splitted/length-4096-inf/TheStack--assembly_text_document,707372958,37324,4097,938047,code,TheStack,assembly,false,programming,0.248,0.209,1.575,840,7.5,0.867,4.15,1.82,2.0,707372958,1414745916.0,0.0015438192218182034,0.0017611107311838615
79,lucie_tokens_65k_splitted/length-4096-inf/TheStack--fortran_text_document,643710574,34664,4097,968014,code,TheStack,fortran,false,programming,0.165,0.192,1.843,1158,9.6,0.78,4.07,2.36,2.0,643710574,1287421148.0,0.001404878072012514,0.0016026137086907458
98,lucie_tokens_65k_splitted/length-4096-inf/TheStack--swift_text_document,618552429,62629,4097,707934,code,TheStack,swift,false,programming,1.756,0.553,6.134,315,11.1,1.876,3.39,3.27,2.0,618552429,1237104858.0,0.0013499712122053435,0.001539978745571079
97,lucie_tokens_65k_splitted/length-4096-inf/TheStack--scala_text_document,574445954,60582,4097,479488,code,TheStack,scala,false,programming,1.362,0.457,4.862,335,10.6,1.587,3.47,3.06,2.0,574445954,1148891908.0,0.0012537102184232713,0.0014301690821414618
76,lucie_tokens_65k_splitted/length-4096-inf/TheStack--dart_text_document,568125808,41201,4097,1609976,code,TheStack,dart,false,programming,0.933,0.308,3.864,331,12.5,1.242,4.03,3.11,2.0,568125808,1136251616.0,0.0012399166986553055,0.0014144341338127632
85,lucie_tokens_65k_splitted/length-4096-inf/TheStack--kotlin_text_document,416141317,47785,4097,708202,code,TheStack,kotlin,false,programming,2.243,0.454,5.769,202,12.7,1.758,3.87,3.28,2.0,416141317,832282634.0,0.0009082153295678322,0.0010360460217899439
84,lucie_tokens_65k_splitted/length-4096-inf/TheStack--julia_text_document,401840479,27437,4097,847188,code,TheStack,julia,false,programming,0.299,0.152,1.539,510,10.1,0.66,4.34,2.33,2.0,401840479,803680958.0,0.0008770042006395643,0.0010004419476139532
81,lucie_tokens_65k_splitted/length-4096-inf/TheStack--haskell_text_document,387103872,35096,4097,962504,code,TheStack,haskell,false,programming,0.545,0.307,2.364,563,7.7,0.807,2.63,2.93,2.0,387103872,774207744.0,0.0008448420195812086,0.000963752961365006
38,lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--fr.80_text_document,382526950,3394,4100,998594,fr,Gutenberg.fr,,false,book,0.003,0.227,1.392,65807,6.1,0.383,1.69,3.64,2.0,382526950,765053900.0,0.0008348530313389374,0.0009523580297962598
89,lucie_tokens_65k_splitted/length-4096-inf/TheStack--ocaml_text_document,312828599,17923,4097,854746,code,TheStack,ocaml,false,programming,0.16,0.13,1.107,812,8.5,0.43,3.31,2.58,2.0,312828599,625657198.0,0.0006827385734904766,0.0007788335650797002
45,lucie_tokens_65k_splitted/length-4096-inf/MathPile--textbooks_text_document,197870923,2188,4102,1804711,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,197870923,593612769.0,0.000431847063011857,0.0007389438667612077
102,lucie_tokens_65k_splitted/length-4096-inf/ValidatedYouTube--fr_text_document,291458469,6122,4097,233112844,fr,ValidatedYouTube.fr,,false,dialogue,0.038,0.145,1.003,3862,6.9,0.336,2.32,2.98,2.0,291458469,582916938.0,0.0006360989372227386,0.000725629431610699
35,lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--de.70_text_document,193252139,1835,4100,2187788,de,Gutenberg.de,,false,book,0.002,0.099,0.654,52404,6.6,0.193,1.96,3.38,3.0,193252139,579756417.0,0.0004217667122718639,0.0007216951368470363
5,lucie_tokens_65k_splitted/length-4096-inf/Claire--en--MediaSum_text_document,289683108,41543,4097,123387,en,Claire.en,,false,dialogue,0.949,0.818,4.709,861,5.8,1.161,1.42,4.06,2.0,289683108,579366216.0,0.0006322242677058042,0.0007212094049847656
47,lucie_tokens_65k_splitted/length-4096-inf/OpenData--balo_opendata_text_document,257682919,8791,4097,4774842,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,257682919,515365838.0,0.0005623848621683148,0.0006415401504416596
49,lucie_tokens_65k_splitted/length-4096-inf/OpenData--inca_opendata_text_document,249341280,35250,4097,165328,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,249341280,498682560.0,0.0005441794975384891,0.0006207723930762984
39,lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--it.70_text_document,129121600,956,5491,828436,it,Gutenberg.it,,false,book,0.001,0.066,0.414,68616,6.3,0.129,1.96,3.21,3.0,129121600,387364800.0,0.000281803828910182,0.0004822012903148683
7,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--AssembleeNationale_text_document,186543268,4489,5010,149277,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,186543268,373086536.0,0.00040712481242346924,0.00046442735390077924
78,lucie_tokens_65k_splitted/length-4096-inf/TheStack--erlang_text_document,173036242,13038,4097,810304,code,TheStack,erlang,false,programming,0.099,0.066,0.726,661,11.0,0.26,3.96,2.79,2.0,173036242,346072484.0,0.0003776461532061936,0.00043079959337366644
37,lucie_tokens_65k_splitted/length-4096-inf/Gutenberg--es.70_text_document,91992256,728,4100,1203413,es,Gutenberg.es,,false,book,0.001,0.051,0.303,69661,5.9,0.092,1.8,3.3,3.0,91992256,275976768.0,0.00020077020398512457,0.0003435427112286069
93,lucie_tokens_65k_splitted/length-4096-inf/TheStack--r_text_document,126438214,4126,4097,839869,code,TheStack,r,false,programming,0.039,0.028,0.305,711,10.9,0.158,5.67,1.93,2.0,126438214,252876428.0,0.0002759474234037138,0.00031478683626342635
22,lucie_tokens_65k_splitted/length-4096-inf/DiscoursPublics_text_document,115059380,15799,4097,147648,fr,DiscoursPublics,,false,legi_spoken,0.11,0.163,1.025,1481,6.3,0.238,1.47,4.3,2.0,115059380,230118760.0,0.00025111347625828375,0.00028645752788497434
77,lucie_tokens_65k_splitted/length-4096-inf/TheStack--elixir_text_document,94744461,8316,4097,564949,code,TheStack,elixir,false,programming,0.282,0.073,0.737,259,10.1,0.258,3.53,2.85,2.0,94744461,189488922.0,0.00020677680479355435,0.0002358804999544962
75,lucie_tokens_65k_splitted/length-4096-inf/TheStack--clojure_text_document,83794605,6988,4097,638407,code,TheStack,clojure,false,programming,0.126,0.045,0.492,355,11.0,0.179,3.98,2.75,2.0,83794605,167589210.0,0.0001828790886344057,0.0002086191964392465
18,lucie_tokens_65k_splitted/length-4096-inf/Claire--fr--Senat_text_document,76105164,739,9841,326151,fr,Claire.fr,,false,dialogue,0.039,0.209,1.314,5321,6.3,0.31,1.48,4.23,2.0,76105164,152210328.0,0.00016609712561676233,0.00018947518349847307
23,lucie_tokens_65k_splitted/length-4096-inf/Europarl--de_text_document,72182868,2277,4099,179909,de,Europarl.de,,false,legi_dialogue,0.01,0.045,0.327,4444,7.2,0.073,1.63,4.46,2.0,72182868,144365736.0,0.00015753683802027118,0.0001797100412233007
25,lucie_tokens_65k_splitted/length-4096-inf/Europarl--es_text_document,72030346,2388,4099,172763,es,Europarl.es,,false,legi_dialogue,0.01,0.052,0.325,5086,6.2,0.073,1.4,4.43,2.0,72030346,144060692.0,0.0001572039635547051,0.0001793303149022648
26,lucie_tokens_65k_splitted/length-4096-inf/Europarl--fr_text_document,70327279,2380,4104,159704,fr,Europarl.fr,,false,legi_dialogue,0.01,0.053,0.339,5129,6.4,0.072,1.36,4.73,2.0,70327279,140654558.0,0.00015348707341788386,0.00017509027499728287
24,lucie_tokens_65k_splitted/length-4096-inf/Europarl--en_text_document,67076696,2648,4120,179710,en,Europarl.en,,false,legi_dialogue,0.011,0.056,0.339,5071,6.0,0.069,1.22,4.92,2.0,67076696,134153392.0,0.00014639277830699347,0.00016699746265669036
46,lucie_tokens_65k_splitted/length-4096-inf/MathPile--wikipedia_text_document,39319458,4492,4097,80129,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,39319458,117958374.0,8.581347981339362e-05,0.00014683750342375923
44,lucie_tokens_65k_splitted/length-4096-inf/MathPile--stackexchange_text_document,31647922,4879,4097,137036,en,MathPile,,false,math,0.737,3.408,27.29,4626,8.0,9.637,2.83,2.83,3.0,31647922,94943766.0,6.907059389483079e-05,0.00011818834977404484
88,lucie_tokens_65k_splitted/length-4096-inf/TheStack--matlab_text_document,42606190,843,4583,159770,code,TheStack,matlab,false,programming,0.001,0.009,0.037,8940,4.3,0.043,4.94,0.87,2.0,42606190,85212380.0,9.298666897927772e-05,0.0001060744796295401
50,lucie_tokens_65k_splitted/length-4096-inf/OpenData--kali_opendata_text_document,34202483,4175,4098,65182,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,34202483,68404966.0,7.46458428925556e-05,8.51521946990142e-05
