language ,name                 ,subset      ,ocr   ,category     ,  M docs, B words, B chars, #words/doc,#chars/word, B tokens,#tokens/words,#chars/tokens
de       ,Eurovoc.de           ,            ,true  ,legi_written ,   0.247,   0.678,   4.915,       2742,        7.2,    1.497,        2.21,        3.28
de       ,Gutenberg.de         ,            ,false ,book         ,   0.002,   0.099,   0.654,      52404,        6.6,    0.193,        1.96,        3.38
de       ,Europarl.de          ,            ,false ,legi_dialogue,   0.010,   0.045,   0.327,       4444,        7.2,    0.073,        1.63,        4.46
es       ,Wikipedia.es         ,            ,false ,wiki         ,   1.947,   1.245,   7.161,        639,        5.8,    2.124,        1.71,        3.37
es       ,Eurovoc.es           ,            ,true  ,legi_written ,   0.246,   0.757,   4.684,       3084,        6.2,    1.411,        1.86,        3.32
es       ,Europarl.es          ,            ,false ,legi_dialogue,   0.010,   0.052,   0.325,       5086,        6.2,    0.073,        1.40,        4.43
es       ,Gutenberg.es         ,            ,false ,book         ,   0.001,   0.051,   0.303,      69661,        5.9,    0.092,        1.80,        3.30
it       ,Wikipedia.it         ,            ,false ,wiki         ,   1.870,   1.060,   6.161,        567,        5.8,    1.959,        1.85,        3.14
it       ,Eurovoc.it           ,            ,true  ,legi_written ,   0.245,   0.731,   4.867,       2976,        6.7,    1.527,        2.09,        3.19
it       ,Gutenberg.it         ,            ,false ,book         ,   0.001,   0.066,   0.414,      68616,        6.3,    0.129,        1.96,        3.21
es-en    ,EuroparlAligned.es-en,            ,false ,aligned      ,   1.961,   0.103,   0.631,         52,        6.1,    0.143,        1.39,        4.42
it-en    ,EuroparlAligned.it-en,            ,false ,aligned      ,   1.901,   0.100,   0.638,         52,        6.4,    0.151,        1.52,        4.22
de-fr    ,EuroparlAligned.de-fr,            ,false ,aligned      ,   1.792,   0.091,   0.621,         51,        6.8,    0.141,        1.55,        4.41
code     ,TheStack             ,javascript  ,false ,programming  ,  21.109,   8.526, 141.647,        404,       16.6,   58.609,        6.87,        2.42
code     ,TheStack             ,java        ,false ,programming  ,  20.152,   7.421,  89.297,        368,       12.0,   27.680,        3.73,        3.23
code     ,TheStack             ,c           ,false ,programming  ,   8.626,   5.916,  57.428,        686,        9.7,   24.092,        4.07,        2.38
code     ,TheStack             ,python      ,false ,programming  ,  12.962,   5.434,  64.304,        419,       11.8,   21.683,        3.99,        2.97
code     ,TheStack             ,php         ,false ,programming  ,  15.905,   4.865,  66.844,        306,       13.7,   22.883,        4.70,        2.92
code     ,TheStack             ,c++         ,false ,programming  ,   6.378,   4.584,  50.892,        719,       11.1,   18.835,        4.11,        2.70
code     ,TheStack             ,c#          ,false ,programming  ,  10.839,   3.574,  46.286,        330,       13.0,   13.381,        3.74,        3.46
code     ,TheStack             ,go          ,false ,programming  ,   4.730,   2.735,  25.738,        578,        9.4,   10.262,        3.75,        2.51
code     ,TheStack             ,typescript  ,false ,programming  ,  10.637,   2.617,  28.815,        246,       11.0,    9.836,        3.76,        2.93
code     ,TheStack             ,rust        ,false ,programming  ,   1.387,   0.872,   9.529,        629,       10.9,    3.241,        3.72,        2.94
code     ,TheStack             ,ruby        ,false ,programming  ,   3.405,   0.646,   7.139,        190,       11.1,    2.392,        3.70,        2.98
code     ,TheStack             ,swift       ,false ,programming  ,   1.756,   0.553,   6.134,        315,       11.1,    1.876,        3.39,        3.27
code     ,TheStack             ,scala       ,false ,programming  ,   1.362,   0.457,   4.862,        335,       10.6,    1.587,        3.47,        3.06
code     ,TheStack             ,kotlin      ,false ,programming  ,   2.243,   0.454,   5.769,        202,       12.7,    1.758,        3.87,        3.28
code     ,TheStack             ,tex         ,false ,programming  ,   0.398,   0.394,   3.805,        989,        9.7,    1.507,        3.83,        2.53
