,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
78,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--assembly_text_document,159881902,211072,3,4096,code,TheStack,assembly,false,programming,0.248,0.209,1.575,840,7.5,0.867,4.15,1.82,2.0,159881902,319763804.0,0.0004973306062757844,0.0005821127530440789
62,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OtherFr--interventions_parlement_text_document,156181076,1831828,2,4094,fr,OtherFr,interventions_parlement,false,legi_spoken,1.832,0.104,0.654,57,6.3,0.157,1.5,4.18,2.0,156181076,312362152.0,0.00048581877150726145,0.00056863844491759
63,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OtherFr--questions_ecrites_parlement_text_document,153921087,188623,35,4083,fr,OtherFr,questions_ecrites_parlement,false,legi_written,0.189,0.108,0.705,572,6.5,0.156,1.44,4.52,2.0,153921087,307842174.0,0.0004787888219914832,0.000560410068833852
47,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/HAL_text_document,150646983,63290,217,4096,fr,HAL,,true,technical,0.349,9.356,58.308,26811,6.2,16.224,1.73,3.59,2.0,150646983,301293966.0,0.0004686043539124759,0.0005484894094637087
110,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Wikiother--fr--wikisource_text_document,99236852,144847,8,4096,fr,Wikiother.fr,,false,wiki,0.836,0.576,3.427,690,5.9,0.912,1.58,3.76,3.0,99236852,297710556.0,0.0003086873695689478,0.0005419660048935477
57,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/OpenData--kali_opendata_text_document,140822710,426492,3,4096,fr,OpenData,,false,legi_written,1.169,0.755,4.638,646,6.1,1.209,1.6,3.84,2.0,140822710,281645420.0,0.0004380448497647906,0.0005127202915638816
86,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--fortran_text_document,136525514,130782,3,4096,code,TheStack,fortran,false,programming,0.165,0.192,1.843,1158,9.6,0.78,4.07,2.36,2.0,136525514,273051028.0,0.0004246779391561973,0.0004970746646190007
25,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/DiscoursPublics_text_document,123372291,93942,10,4096,fr,DiscoursPublics,,false,legi_spoken,0.11,0.163,1.025,1481,6.3,0.238,1.47,4.3,2.0,123372291,246744582.0,0.0003837633622888881,0.00044918519898121573
35,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/Eurovoc--en_text_document,240888287,203756,5,4096,en,Eurovoc.en,,true,legi_written,0.272,1.523,9.468,5594,6.2,2.571,1.69,3.68,1.0,240888287,240888287.0,0.0007493100614880423,0.00043852412989696046
96,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-0-4096/TheStack--ocaml_text_document,117013732,141811,4,4096,code,TheStack,ocaml,false,programming,0.16,0.13,1.107,812,8.5,0.43,3.31,2.58,2.0,117013732,234027464.0,0.0003639843506374609,0.0004260343717857574
