,prefix,total_tokens,total_sequences,min_tokens,max_tokens,language,name,subset,ocr,category,M docs,B words,B chars,#words/doc,#chars/word,B tokens,#tokens/words,#chars/tokens,num_epochs,count,reweighted_count,ratio,new_ratio
60,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Pile--FreeLaw_text_document,10579021120,1189093,4097,1475572,en,Pile,FreeLaw,false,legi_written,3.415,8.204,52.58,2403,6.4,14.011,1.71,3.75,1.0,10579021120,10579021120.0,0.023067577118009913,0.013152113879309351
106,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--en_text_document,3299052039,376172,4097,342132,en,Wikipedia.en,,false,wiki,6.893,4.708,26.616,683,5.7,7.898,1.68,3.37,3.0,3299052039,9897156117.0,0.007193589696317795,0.012304401594018856
58,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Persee_text_document,4902181808,341637,4097,2283384,fr,Persee,,true,technical,1.094,3.25,20.314,2970,6.2,5.754,1.77,3.53,2.0,4902181808,9804363616.0,0.010689217425680426,0.012189039546202287
67,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/RedPajama--es--2023_text_document,9267194594,1202464,4097,180678,es,RedPajama--es--2023,,false,web,39.75,28.868,177.18,726,6.1,46.71,1.62,3.79,1.0,9267194594,9267194594.0,0.020207136703844632,0.011521217063418434
100,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--typescript_text_document,4095558977,280561,4097,1017202,code,TheStack,typescript,false,programming,10.637,2.617,28.815,246,11.0,9.836,3.76,2.93,2.0,4095558977,8191117954.0,0.00893037469834499,0.010183410630138095
68,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/RedPajama--fr--2023_text_document,7895132367,1080009,4097,177805,fr,RedPajama--fr--2023,,false,web,37.638,27.239,169.926,724,6.2,41.707,1.53,4.07,1.0,7895132367,7895132367.0,0.017215352220855445,0.009815433659234929
52,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/OpenEdition_text_document,2962631287,285924,4097,2041101,fr,OpenEdition,,false,technical,0.939,2.225,14.459,2369,6.5,3.604,1.62,4.01,2.0,2962631287,5925262574.0,0.006460023560771704,0.007366440359092284
65,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Pile--Ubuntu_IRC_text_document,2155685441,7036,4097,19490563,en,Pile,Ubuntu_IRC,false,forum,0.01,0.867,5.61,83577,6.5,2.159,2.49,2.6,2.5,2155685441,5389213602.5,0.004700476498570286,0.006700010352186819
96,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/TheStack--rust_text_document,2032445854,156115,4097,958508,code,TheStack,rust,false,programming,1.387,0.872,9.529,629,10.9,3.241,3.72,2.94,2.0,2032445854,4064891708.0,0.004431752327886885,0.005053578969570702
69,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/RedPajama--it--2023_text_document,3847603396,556798,4097,194059,it,RedPajama--it--2023,,false,web,23.323,14.403,94.066,618,6.5,25.915,1.8,3.63,1.0,3847603396,3847603396.0,0.00838970704850496,0.004783440495353637
105,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--de_text_document,1255319656,135529,4097,633264,de,Wikipedia.de,,false,wiki,2.877,1.709,11.252,594,6.6,3.476,2.03,3.24,3.0,1255319656,3765958968.0,0.002737227068938272,0.004681938021496484
108,/lustre/fsn1/projects/rech/qgz/commun/preprocessed_data/Lucie/lucie_tokens_65k_splitted/length-4096-inf/Wikipedia--fr_text_document,1216680760,135248,4097,429198,fr,Wikipedia.fr,,false,wiki,2.648,1.726,9.879,652,5.7,2.94,1.7,3.36,3.0,1216680760,3650042280.0,0.002652974877443,0.004537827383678949
