language,name,subset,#pages,#words,#characters,#words/page,#chars/page,#chars/word
en,AmericanStories,1939,556283,74742152,439118573,134,789,5.9
en,AmericanStories,1887,494559,74274039,420026681,150,849,5.7
en,AmericanStories,1942,523923,72607462,425943467,139,813,5.9
en,AmericanStories,1947,393086,68758373,401392408,175,1021,5.8
en,AmericanStories,1940,496662,67138767,394432264,135,794,5.9
en,AmericanStories,1927,504835,66140551,382048703,131,757,5.8
en,AmericanStories,1948,396660,65636210,383099871,165,966,5.8
en,AmericanStories,1886,423718,65245172,369062626,154,871,5.7
en,AmericanStories,1943,467200,65128220,380255412,139,814,5.8
en,AmericanStories,1928,487302,64877832,376247011,133,772,5.8
en,AmericanStories,1944,433769,64303556,376760102,148,869,5.9
en,AmericanStories,1883,387589,63581039,361130600,164,932,5.7
en,AmericanStories,1931,493816,62456946,363216307,126,736,5.8
en,AmericanStories,1930,492695,62251645,360751894,126,732,5.8
en,AmericanStories,1949,419854,61261701,359096538,146,855,5.9
en,AmericanStories,1876,288199,59163256,338284877,205,1174,5.7
en,AmericanStories,1878,307865,58840415,334920065,191,1088,5.7
en,AmericanStories,1951,419622,58839686,346874396,140,827,5.9
en,AmericanStories,1950,415416,57989374,341997053,140,823,5.9
en,AmericanStories,1879,287784,57910161,328800308,201,1143,5.7
en,AmericanStories,1952,396420,57166525,337643197,144,852,5.9
en,AmericanStories,1885,318732,53192024,300859084,167,944,5.7
en,AmericanStories,1953,358332,52930651,312826586,148,873,5.9
en,AmericanStories,1929,421909,52022931,300978699,123,713,5.8
en,AmericanStories,1882,311920,51858984,294260613,166,943,5.7
en,AmericanStories,1884,304242,50176958,283816315,165,933,5.7
en,AmericanStories,1877,254946,49253200,279842330,193,1098,5.7
en,AmericanStories,1875,274269,48899791,278969262,178,1017,5.7
en,AmericanStories,1873,241902,46945104,266382516,194,1101,5.7
en,AmericanStories,1880,272352,45117289,255909226,166,940,5.7
en,AmericanStories,1881,270228,44996664,254424672,167,942,5.7
en,AmericanStories,1874,213813,43765342,248934201,205,1164,5.7
en,AmericanStories,1960,344550,42482505,250995934,123,728,5.9
en,AmericanStories,1961,339076,42096592,248457612,124,733,5.9
en,AmericanStories,1955,273576,38774633,228739651,142,836,5.9
en,AmericanStories,1954,266338,37922677,223492230,142,839,5.9
en,AmericanStories,1870,174061,37825739,216778897,217,1245,5.7
en,AmericanStories,1872,194784,37404388,213362779,192,1095,5.7
en,AmericanStories,1869,171455,36824978,211147276,215,1232,5.7
en,AmericanStories,1862,171021,35362322,202351363,207,1183,5.7
en,AmericanStories,1858,171877,33386134,189398962,194,1102,5.7
en,AmericanStories,1867,161180,33282700,189735778,206,1177,5.7
en,AmericanStories,1861,173990,33047234,189736426,190,1091,5.7
en,AmericanStories,1962,264724,32772782,193181493,124,730,5.9
en,AmericanStories,1868,140521,31757728,181414418,226,1291,5.7
en,AmericanStories,1871,151652,31732169,180489473,209,1190,5.7
en,AmericanStories,1863,151485,30529104,174349357,202,1151,5.7
en,AmericanStories,1856,157592,29010306,165761932,184,1052,5.7
en,AmericanStories,1963,226859,28044555,164908322,124,727,5.9
en,AmericanStories,1866,135316,28014420,160194926,207,1184,5.7
en,AmericanStories,1859,160924,27156469,155156121,169,964,5.7
en,AmericanStories,1860,150590,24726115,141739458,164,941,5.7
en,AmericanStories,1857,129179,23376620,133769800,181,1036,5.7
en,AmericanStories,1854,118825,23149332,133076718,195,1120,5.7
en,AmericanStories,1865,99728,20747169,118348330,208,1187,5.7
en,AmericanStories,1845,95921,20581773,117965774,215,1230,5.7
en,AmericanStories,1851,90184,19975848,115127476,222,1277,5.8
en,AmericanStories,1864,94415,19409239,110921342,206,1175,5.7
