language ,name                ,subset       , M pages, B words, B chars,#words/page,#chars/word, B tokens,#tokens/words,#chars/tokens
code     ,TheStack            ,perl         ,   0.392,   0.297,   2.634,        757,        8.9,    1.199,        4.04,        2.20
code     ,TheStack            ,assembly     ,   0.248,   0.209,   1.575,        840,        7.5,    0.898,        4.30,        1.75
code     ,TheStack            ,fortran      ,   0.165,   0.192,   1.843,       1158,        9.6,    0.817,        4.27,        2.26
code     ,TheStack            ,julia        ,   0.299,   0.152,   1.539,        510,       10.1,    0.693,        4.55,        2.22
code     ,TheStack            ,ocaml        ,   0.160,   0.130,   1.107,        812,        8.5,    0.449,        3.46,        2.47
code     ,TheStack            ,mathematica  ,   0.027,   0.120,   1.720,       4454,       14.4,    1.150,        9.60,        1.50
code     ,TheStack            ,elixir       ,   0.282,   0.073,   0.737,        259,       10.1,    0.272,        3.72,        2.71
code     ,TheStack            ,erlang       ,   0.099,   0.066,   0.726,        661,       11.0,    0.276,        4.20,        2.63
code     ,TheStack            ,clojure      ,   0.126,   0.045,   0.492,        355,       11.0,    0.187,        4.16,        2.63
code     ,TheStack            ,r            ,   0.039,   0.028,   0.305,        711,       10.9,    0.167,        6.01,        1.82
code     ,TheStack            ,matlab       ,   0.001,   0.009,   0.037,       8940,        4.3,    0.043,        4.94,        0.87
code     ,TheStack            ,racket       ,   0.004,   0.005,   0.038,       1141,        7.9,    0.016,        3.32,        2.37
