language ,name                ,subset       , M pages, B words, B chars,#words/page,#chars/word, B tokens,#tokens/words,#chars/tokens
en       ,AmericanStories     ,1920         ,   1.732,   0.252,   1.441,        145,        5.7,         ,            ,            
en       ,AmericanStories     ,1909         ,   1.642,   0.251,   1.419,        153,        5.7,         ,            ,            
en       ,AmericanStories     ,1919         ,   1.693,   0.245,   1.401,        145,        5.7,         ,            ,            
en       ,AmericanStories     ,1918         ,   1.655,   0.244,   1.390,        147,        5.7,         ,            ,            
en       ,AmericanStories     ,1908         ,   1.563,   0.240,   1.358,        153,        5.7,         ,            ,            
en       ,AmericanStories     ,1914         ,   1.672,   0.236,   1.338,        141,        5.7,         ,            ,            
en       ,AmericanStories     ,1915         ,   1.641,   0.231,   1.311,        141,        5.7,         ,            ,            
en       ,AmericanStories     ,1912         ,   1.531,   0.221,   1.251,        144,        5.7,         ,            ,            
en       ,AmericanStories     ,1916         ,   1.609,   0.221,   1.258,        137,        5.7,         ,            ,            
en       ,AmericanStories     ,1906         ,   1.424,   0.221,   1.249,        155,        5.7,         ,            ,            
en       ,AmericanStories     ,1917         ,   1.589,   0.219,   1.245,        138,        5.7,         ,            ,            
en       ,AmericanStories     ,1913         ,   1.548,   0.216,   1.221,        139,        5.7,         ,            ,            
en       ,AmericanStories     ,1910         ,   1.428,   0.213,   1.207,        149,        5.7,         ,            ,            
en       ,AmericanStories     ,1905         ,   1.393,   0.212,   1.201,        152,        5.7,         ,            ,            
en       ,AmericanStories     ,1901         ,   1.245,   0.203,   1.150,        163,        5.7,         ,            ,            
en       ,AmericanStories     ,1898         ,   1.150,   0.181,   1.024,        157,        5.7,         ,            ,            
en       ,AmericanStories     ,1897         ,   1.077,   0.173,   0.982,        161,        5.7,         ,            ,            
en       ,AmericanStories     ,1903         ,   1.141,   0.172,   0.972,        151,        5.7,         ,            ,            
en       ,AmericanStories     ,1896         ,   1.007,   0.172,   0.974,        170,        5.7,         ,            ,            
en       ,AmericanStories     ,1904         ,   1.147,   0.165,   0.937,        144,        5.7,         ,            ,            
en       ,AmericanStories     ,1907         ,   0.963,   0.128,   0.726,        133,        5.7,         ,            ,            
en       ,AmericanStories     ,1895         ,   0.769,   0.124,   0.702,        161,        5.7,         ,            ,            
en       ,AmericanStories     ,1911         ,   0.858,   0.112,   0.636,        131,        5.7,         ,            ,            
en       ,AmericanStories     ,1923         ,   0.766,   0.110,   0.631,        143,        5.7,         ,            ,            
en       ,AmericanStories     ,1894         ,   0.677,   0.109,   0.620,        162,        5.7,         ,            ,            
en       ,AmericanStories     ,1924         ,   0.725,   0.108,   0.621,        149,        5.8,         ,            ,            
en       ,AmericanStories     ,1902         ,   0.786,   0.106,   0.603,        135,        5.7,         ,            ,            
en       ,AmericanStories     ,1893         ,   0.558,   0.089,   0.505,        160,        5.7,         ,            ,            
en       ,AmericanStories     ,1891         ,   0.522,   0.088,   0.499,        168,        5.7,         ,            ,            
en       ,AmericanStories     ,1933         ,   0.563,   0.086,   0.498,        152,        5.8,         ,            ,            
en       ,AmericanStories     ,1934         ,   0.560,   0.085,   0.495,        152,        5.8,         ,            ,            
en       ,AmericanStories     ,1899         ,   0.650,   0.083,   0.474,        128,        5.7,         ,            ,            
en       ,AmericanStories     ,1935         ,   0.542,   0.081,   0.468,        149,        5.8,         ,            ,            
en       ,AmericanStories     ,1936         ,   0.556,   0.080,   0.468,        145,        5.8,         ,            ,            
en       ,AmericanStories     ,1937         ,   0.559,   0.080,   0.464,        142,        5.8,         ,            ,            
en       ,AmericanStories     ,1938         ,   0.550,   0.079,   0.459,        143,        5.8,         ,            ,            
en       ,AmericanStories     ,1941         ,   0.512,   0.075,   0.440,        147,        5.8,         ,            ,            
en       ,AmericanStories     ,1900         ,   0.589,   0.075,   0.427,        127,        5.7,         ,            ,            
en       ,AmericanStories     ,1926         ,   0.514,   0.073,   0.419,        142,        5.7,         ,            ,            
en       ,AmericanStories     ,1892         ,   0.451,   0.072,   0.410,        160,        5.7,         ,            ,            
en       ,AmericanStories     ,1942         ,   0.424,   0.065,   0.380,        154,        5.8,         ,            ,            
en       ,AmericanStories     ,1927         ,   0.431,   0.061,   0.353,        142,        5.7,         ,            ,            
en       ,AmericanStories     ,1940         ,   0.403,   0.060,   0.348,        148,        5.8,         ,            ,            
en       ,AmericanStories     ,1931         ,   0.442,   0.060,   0.345,        135,        5.8,         ,            ,            
en       ,AmericanStories     ,1883         ,   0.326,   0.058,   0.331,        179,        5.7,         ,            ,            
en       ,AmericanStories     ,1947         ,   0.311,   0.051,   0.295,        163,        5.8,         ,            ,            
en       ,AmericanStories     ,1879         ,   0.228,   0.050,   0.282,        218,        5.7,         ,            ,            
en       ,AmericanStories     ,1948         ,   0.308,   0.049,   0.284,        158,        5.8,         ,            ,            
en       ,AmericanStories     ,1876         ,   0.223,   0.048,   0.277,        217,        5.7,         ,            ,            
en       ,AmericanStories     ,1932         ,   0.373,   0.048,   0.283,        130,        5.8,         ,            ,            
en       ,AmericanStories     ,1929         ,   0.361,   0.048,   0.278,        134,        5.8,         ,            ,            
en       ,AmericanStories     ,1878         ,   0.236,   0.048,   0.275,        205,        5.7,         ,            ,            
en       ,AmericanStories     ,1951         ,   0.323,   0.048,   0.278,        147,        5.8,         ,            ,            
en       ,AmericanStories     ,1949         ,   0.306,   0.046,   0.268,        150,        5.8,         ,            ,            
en       ,AmericanStories     ,1888         ,   0.299,   0.043,   0.247,        145,        5.7,         ,            ,            
en       ,AmericanStories     ,1889         ,   0.295,   0.042,   0.241,        144,        5.7,         ,            ,            
en       ,AmericanStories     ,1925         ,   0.347,   0.042,   0.244,        122,        5.8,         ,            ,            
en       ,AmericanStories     ,1881         ,   0.223,   0.040,   0.229,        182,        5.7,         ,            ,            
en       ,AmericanStories     ,1939         ,   0.301,   0.039,   0.230,        131,        5.8,         ,            ,            
en       ,AmericanStories     ,1880         ,   0.219,   0.039,   0.224,        180,        5.7,         ,            ,            
en       ,AmericanStories     ,1890         ,   0.279,   0.039,   0.223,        141,        5.7,         ,            ,            
en       ,AmericanStories     ,1873         ,   0.177,   0.038,   0.217,        215,        5.7,         ,            ,            
en       ,AmericanStories     ,1874         ,   0.165,   0.037,   0.212,        226,        5.7,         ,            ,            
en       ,AmericanStories     ,1945         ,   0.280,   0.036,   0.212,        130,        5.8,         ,            ,            
en       ,AmericanStories     ,1960         ,   0.258,   0.036,   0.211,        140,        5.8,         ,            ,            
en       ,AmericanStories     ,1887         ,   0.261,   0.036,   0.202,        136,        5.7,         ,            ,            
en       ,AmericanStories     ,1946         ,   0.244,   0.034,   0.199,        140,        5.8,         ,            ,            
en       ,AmericanStories     ,1930         ,   0.273,   0.033,   0.190,        120,        5.8,         ,            ,            
en       ,AmericanStories     ,1954         ,   0.205,   0.031,   0.181,        151,        5.8,         ,            ,            
en       ,AmericanStories     ,1928         ,   0.254,   0.030,   0.176,        120,        5.8,         ,            ,            
en       ,AmericanStories     ,1955         ,   0.197,   0.030,   0.172,        150,        5.8,         ,            ,            
en       ,AmericanStories     ,1944         ,   0.219,   0.029,   0.171,        134,        5.8,         ,            ,            
en       ,AmericanStories     ,1886         ,   0.217,   0.029,   0.165,        134,        5.7,         ,            ,            
en       ,AmericanStories     ,1962         ,   0.209,   0.029,   0.168,        138,        5.8,         ,            ,            
en       ,AmericanStories     ,1943         ,   0.222,   0.028,   0.165,        128,        5.8,         ,            ,            
en       ,AmericanStories     ,1861         ,   0.141,   0.028,   0.163,        200,        5.8,         ,            ,            
en       ,AmericanStories     ,1862         ,   0.119,   0.027,   0.156,        228,        5.7,         ,            ,            
en       ,AmericanStories     ,1950         ,   0.208,   0.027,   0.158,        130,        5.9,         ,            ,            
