tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
Gemma,256000,French,Persee,1.759,3.552,908.8305914402008,913038858,146092571,257040500
Gemma,256000,French,Wikipedia.fr,1.782,3.178,849.6715331077576,1032611019,182384258,324957505
Gemma,256000,German,Europarl.de,1.49,4.864,184.55489826202395,157768481,21771862,32437838
Gemma,256000,German,Gutenberg.de,1.737,3.813,300.4108135700226,355733044,53718437,93291078
Gemma,256000,German,Wikipedia.de,1.907,3.44,1017.9509868621826,1269036036,193425915,368883553
Gemma,256000,Italian,Gutenberg.it,1.782,3.535,181.2975890636444,211432934,33557403,59805742
Gemma,256000,Italian,Wikipedia.it,1.797,3.149,800.3625583648682,945064169,166986641,300123474
Gemma,256000,Spanish,Europarl.es,1.269,4.882,192.75904607772827,165225813,26660776,33842881
Gemma,256000,Spanish,Gutenberg.es,1.586,3.757,126.52964305877686,151995591,25509320,40453088
Gemma,256000,Spanish,Wikipedia.es,1.585,3.688,955.546576976776,1161930093,198737225,315014684
